Chick Diet weight.0 weight.2 weight.4 weight.6 weight.8 weight.10 weight.12 weight.14 weight.16 weight.18 weight.20 weight.21 weight.ave
1 1 42 51 59 64 76 93 106 125 149 171 199 205 118
2 1 40 49 58 72 84 103 122 138 162 187 209 215 127.181818181818
3 1 43 39 55 67 84 99 115 138 163 187 198 202 122.454545454545
4 1 42 49 56 67 74 87 102 108 136 154 160 157 104.545454545455
5 1 41 42 48 60 79 106 141 164 197 199 220 223 134.454545454545
6 1 41 49 59 74 97 124 141 148 155 160 160 157 120.363636363636
7 1 41 49 57 71 89 112 146 174 218 250 288 305 159.909090909091
9 1 42 51 59 68 85 96 90 92 93 100 100 98 84.7272727272727
10 1 41 44 52 63 74 81 89 96 101 112 120 124 86.9090909090909
11 1 43 51 63 84 112 139 168 177 182 184 181 175 137.818181818182
12 1 41 49 56 62 72 88 119 135 162 185 195 205 120.727272727273
13 1 41 48 53 60 65 67 71 70 71 81 91 96 70.2727272727273
14 1 41 49 62 79 101 128 164 192 227 248 259 266 161.363636363636
17 1 42 51 61 72 83 89 98 103 113 123 133 142 97.0909090909091
19 1 43 48 55 62 65 71 82 88 106 120 144 157 90.7272727272727
20 1 41 47 54 58 65 73 77 89 98 107 115 117 81.8181818181818
21 2 40 50 62 86 125 163 217 240 275 307 318 331 197.636363636364
22 2 41 55 64 77 90 95 108 111 131 148 164 167 110
23 2 43 52 61 73 90 103 127 135 145 163 170 175 117.636363636364
24 2 42 52 58 74 66 68 70 71 72 72 76 74 68.4545454545455
25 2 40 49 62 78 102 124 146 164 197 231 259 265 152.454545454545
26 2 42 48 57 74 93 114 136 147 169 205 236 251 139.090909090909
27 2 39 46 58 73 87 100 115 123 144 163 185 192 116.909090909091
28 2 39 46 58 73 92 114 145 156 184 207 212 233 138.181818181818
29 2 39 48 59 74 87 106 134 150 187 230 279 309 151.181818181818
30 2 42 48 59 72 85 98 115 122 143 151 157 150 109.090909090909
31 2 42 53 62 73 85 102 123 138 170 204 235 256 136.454545454545
32 2 41 49 65 82 107 129 159 179 221 263 291 305 168.181818181818
33 2 39 50 63 77 96 111 137 144 151 146 156 147 116.181818181818
34 2 41 49 63 85 107 134 164 186 235 294 327 341 180.454545454545
35 2 41 53 64 87 123 158 201 238 287 332 361 373 207
36 2 39 48 61 76 98 116 145 166 198 227 225 220 143.636363636364
37 2 41 48 56 68 80 83 103 112 135 157 169 178 108.090909090909
38 2 41 49 61 74 98 109 128 154 192 232 280 290 151.545454545455
39 2 42 50 61 78 89 109 130 146 170 214 250 272 142.636363636364
40 2 41 55 66 79 101 120 154 182 215 262 295 321 168.181818181818
41 2 42 51 66 85 103 124 155 153 175 184 199 204 136.272727272727
42 2 42 49 63 84 103 126 160 174 204 234 269 281 158.818181818182
43 2 42 55 69 96 131 157 184 188 197 198 199 200 152.181818181818
45 2 41 50 61 78 98 117 135 141 147 174 197 196 126.727272727273
46 2 40 52 62 82 101 120 144 156 173 210 231 238 142.636363636364
47 2 41 53 66 79 100 123 148 157 168 185 210 205 135.818181818182
48 2 39 50 62 80 104 125 154 170 222 261 303 322 168.454545454545
49 2 40 53 64 85 108 128 152 166 184 203 233 237 146.636363636364
50 2 41 54 67 84 105 122 155 175 205 234 264 264 157.181818181818
